RunID,RunTime,URL,QuestionID,Question,K,OptionLabel_1,OptionProb_1,OptionLabel_2,OptionProb_2,OptionLabel_3,OptionProb_3,OptionLabel_4,OptionProb_4,OptionLabel_5,OptionProb_5,OptionLabel_6,OptionProb_6,OptionLabel_7,OptionProb_7,OptionLabel_8,OptionProb_8,OptionLabel_9,OptionProb_9,OptionLabel_10,OptionProb_10,OptionLabel_11,OptionProb_11,OptionLabel_12,OptionProb_12,OptionLabel_13,OptionProb_13,OptionLabel_14,OptionProb_14,OptionLabel_15,OptionProb_15,OptionLabel_16,OptionProb_16,OptionLabel_17,OptionProb_17,OptionLabel_18,OptionProb_18,OptionLabel_19,OptionProb_19,OptionLabel_20,OptionProb_20
20250831-185558,2025-08-31 18:57:16 +0300,https://www.metaculus.com/questions/22427/,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",6,0 or 1,0.165093,2 or 3,0.167606,4 or 5,0.167727,6 or 7,0.166418,8 or 9,0.166205,10 or more,0.166952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250831-193055,2025-08-31 19:32:18 +0300,https://www.metaculus.com/questions/22427/,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",6,0 or 1,0.165093,2 or 3,0.167606,4 or 5,0.167727,6 or 7,0.166418,8 or 9,0.166205,10 or more,0.166952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250901-114521,2025-09-01 11:47:57 +0300,https://www.metaculus.com/questions/22427/,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",6,0 or 1,0.165093,2 or 3,0.167606,4 or 5,0.167727,6 or 7,0.166418,8 or 9,0.166205,10 or more,0.166952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250901-124709,2025-09-01 12:51:37 +0300,https://www.metaculus.com/questions/22427/,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",6,0 or 1,0.165093,2 or 3,0.167606,4 or 5,0.167727,6 or 7,0.166418,8 or 9,0.166205,10 or more,0.166952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250901-131942,2025-09-01 13:24:38 +0300,https://www.metaculus.com/questions/22427/,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",6,0 or 1,0.195234,2 or 3,0.199538,4 or 5,0.165511,6 or 7,0.149535,8 or 9,0.144902,10 or more,0.145280,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250901-151653,2025-09-01 15:21:42 +0300,https://www.metaculus.com/questions/22427/,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",6,0 or 1,0.203994,2 or 3,0.186476,4 or 5,0.170037,6 or 7,0.150344,8 or 9,0.144737,10 or more,0.144411,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250901-160905,2025-09-01 16:14:15 +0300,https://www.metaculus.com/questions/22427/,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",6,0 or 1,0.165093,2 or 3,0.167606,4 or 5,0.167727,6 or 7,0.166418,8 or 9,0.166205,10 or more,0.166952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250901-162059,2025-09-01 16:25:34 +0300,https://www.metaculus.com/questions/22427/,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",6,0 or 1,0.185331,2 or 3,0.205563,4 or 5,0.168432,6 or 7,0.150985,8 or 9,0.145332,10 or more,0.144357,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250901-172824,2025-09-01 17:33:41 +0300,https://www.metaculus.com/questions/22427/,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",6,0 or 1,0.405272,2 or 3,0.280470,4 or 5,0.106334,6 or 7,0.073795,8 or 9,0.069251,10 or more,0.064878,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250902-103831,2025-09-02 10:42:09 +0300,https://www.metaculus.com/questions/22427/,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",6,0 or 1,0.283142,2 or 3,0.305563,4 or 5,0.155070,6 or 7,0.105148,8 or 9,0.080893,10 or more,0.070184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250902-111004,2025-09-02 11:13:46 +0300,https://www.metaculus.com/questions/22427/,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",6,0 or 1,0.288791,2 or 3,0.369853,4 or 5,0.158975,6 or 7,0.088615,8 or 9,0.046942,10 or more,0.046824,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250902-112556,2025-09-02 11:30:06 +0300,https://www.metaculus.com/questions/22427/,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",6,0 or 1,0.205234,2 or 3,0.133368,4 or 5,0.091759,6 or 7,0.077057,8 or 9,0.074865,10 or more,0.417718,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250902-114303,2025-09-02 11:47:09 +0300,https://www.metaculus.com/questions/22427/,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",6,0 or 1,0.237520,2 or 3,0.357071,4 or 5,0.211397,6 or 7,0.093836,8 or 9,0.054421,10 or more,0.045757,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250902-122810,2025-09-02 12:32:34 +0300,https://www.metaculus.com/questions/22427/,22427,"Before 2030, how many new AI labs will be leading labs within 2 years of their founding?",6,0 or 1,0.311222,2 or 3,0.369027,4 or 5,0.159061,6 or 7,0.067729,8 or 9,0.049026,10 or more,0.043937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250908-155115,2025-09-08 15:51:17 +0300,https://www.metaculus.com/questions/39767/,39175,What will be the result of the game between IM Levy Rozman Vs The World?,3,Rozman victory,0.171333,Rozman loss,0.332801,Draw,0.495866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20250908-163405,2025-09-08 16:34:08 +0300,https://www.metaculus.com/questions/39767/,39175,What will be the result of the game between IM Levy Rozman Vs The World?,3,Rozman victory,0.250159,Rozman loss,0.304747,Draw,0.445094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
